Name,Yc1314,Yc1415,Yc1516,Yc1617,Ass1516,Ass1617,Asr1314,Asr1415,Asr1516,Asr1617,Og1415,Og1516,Og1617,Og1314,Rc1314,Rc1415,Rc1516,Rc1617,Gf1314,Gf1415,Gf1516,Gf1617,Ge1314,Ge1415,Gr1314,Gr1415,Gr1516,Gr1617,Gv1314,Gv1415,Sf+1314,Sf+1415,Sf1314,Sf1415,Sf1516,Sf1617,Sa1314,Sa1415,Sa1516,Sa1617,Pg1314,Pg1415,Pg1516,Pg1617,P+1314,P+1415,P+1516,P+1617,P-1314,P-1415,P-1516,P-1617,R1314,R1415,R1516,R1617,Pk1516,Pk1617,Ps1314,Ps1415,Ps1516,Ps1617,Team1314,Team1415,Team1516,Team1617
TADDEI,3,,,,,,1,,,,,,,0,0,,,,2,,,,0,,0,,,,0,,6.46,,6.39,,,,6.07,,,,14,,,,0,,,,0,,,,M,,,,,,0,,,,ROMA,,,
TAIDER,3,5,4,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,1,5.79,6.38,5.74,6.24,5.82,6.29,5.65,5.93,5.89,5.94,17,21,28,24,0,0,0,0,0,0,0,0,M,M,M,M,0,0,0,0,0,0,INTER,SASSUOLO,Bologna,Bologna
TAMBE',,0,,,,,,0,,,0,,,,,0,,,,0,,,,0,,0,,,,0,,5.67,,5.67,,,,5.67,,,,3,,,,0,,,,0,,,,D,,,,,,0,,,,GENOA,,
TATARUSANU,,0,2,0,0,0,,0,0,0,1,0,0,,,0,0,0,,0,0,0,,0,,11,39,51,,0,,4.78,,4.78,5.05,4.57,,6.22,6.14,6.03,,9,37,35,,0,0,0,,0,0,0,,G,G,G,0,0,,0,0,0,,FIORENTINA,Fiorentina,Fiorentina
TAVANO,,1,,,,,,1,,,0,,,,,0,,,,1,,,,0,,0,,,,0,,6,,5.95,,,,5.69,,,,21,,,,1,,,,0,,,,F,,,,,,0,,,,EMPOLI,,
TELLES,,,5,,1,,,,0,,,0,,,,,1,,,,0,,,,,,0,,,,,,,,5.65,,,,5.8,,,,20,,,,0,,,,0,,,,D,,0,,,,0,,,,Inter,
TELLO,,,1,,0,,,,4,,,0,,,,,0,,,,2,,,,,,0,,,,,,,,6.8,,,,6.17,,,,15,,,,0,,,,0,,,,F,,0,,,,0,,,,Fiorentina,
TELLO A,,,,6,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,5.37,,,,5.53,,,,15,,,,0,,,,0,,,,M,,0,,,,0,,,,Empoli
TELLO C,,,,1,,0,,,,5,,,0,,,,,0,,,,4,,,,,,0,,,,,,,,6.48,,,,5.98,,,,33,,,,0,,,,0,,,,M,,0,,,,0,,,,Fiorentina
TERRANOVA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67,5.83,5.67,5.83,5.7,5.33,5.67,5.83,5.8,5.33,3,9,5,3,0,0,0,0,0,0,0,0,D,D,D,D,0,0,0,0,0,0,SASSUOLO,SASSUOLO,Sassuolo,Sassuolo
TERZI,,4,,,,,,0,,,0,,,,,0,,,,0,,,,0,,0,,,,0,,5.6,,5.6,,,,5.73,,,,15,,,,0,,,,0,,,,D,,,,,,0,,,,PALERMO,,
TEVEZ,4,6,,,,,6,6,,,0,,,0,0,0,,,18,18,,,0,0,0,0,,,5,7,8.56,8.39,8.38,8.2,,,6.71,6.61,,,33,32,,,1,2,,,0,2,,,F,F,,,,,0,0,,,JUVENTUS,JUVENTUS,,
THEREAU,2,3,2,3,0,0,1,0,3,1,1,0,0,0,0,0,1,0,5,10,11,11,0,2,0,0,0,0,2,2,6.4,6.68,6.37,6.68,7.04,6.86,5.82,5.94,6.07,5.88,31,36,35,33,2,0,0,1,1,0,0,1,F,F,F,F,0,2,0,0,0,0,CHIEVO,UDINESE,Udinese,Udinese
THIAM,,,,1,,0,,,,1,,,0,,,,,0,,,,1,,,,,,0,,,,,,,,6.07,,,,5.82,,,,14,,,,0,,,,0,,,,F,,0,,,,0,,,,Empoli
TINO COSTA,,3,6,,0,,,0,0,,0,0,,,,0,0,,,2,0,,,0,,0,0,,,1,,7.2,,7.2,5.59,,,6.3,5.76,,,5,17,,,0,0,,,0,0,,,M,M,,0,,,0,0,,,GENOA,Fiorentina,
TOLEDO,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,M,,0,,,,0,,,,Fiorentina
TOLOI,1,,6,7,0,0,0,,0,0,,1,0,0,0,,1,0,0,,1,0,0,,0,,0,0,0,,6.1,,6.1,,5.79,5.98,6.2,,5.83,6.1,5,,24,31,0,,0,0,0,,0,0,D,,D,D,0,0,0,,0,0,ROMA,,Atalanta,Atalanta
TOMOVIC,5,4,5,12,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.88,5.83,5.84,5.78,5.55,5.36,5.94,5.74,5.67,5.56,25,23,20,25,0,0,0,0,0,0,0,0,D,D,D,D,0,0,0,0,0,0,FIORENTINA,FIORENTINA,Fiorentina,Fiorentina
TONELLI,,3,8,2,0,0,,0,0,0,0,0,0,,,2,1,0,,5,2,2,,2,,0,0,0,,0,,6.41,,6.41,5.88,8,,5.98,5.85,6.33,,27,26,3,,0,0,0,,0,0,0,,D,D,D,0,0,,0,0,0,,EMPOLI,Empoli,Napoli
TONEV,,,2,2,0,0,,,1,0,,0,0,,,,0,0,,,0,1,,,,,0,0,,,,,,,5.7,5.83,,,5.7,5.67,,,20,12,,,0,0,,,0,0,,,M,M,0,0,,,0,0,,,Frosinone,Crotone
TONI,4,3,3,,0,,5,2,0,,0,0,,0,0,0,0,,17,18,6,,0,3,0,0,0,,7,3,8.37,8.01,8.22,7.96,6.52,,6.51,6.42,5.93,,34,38,23,,3,4,3,,0,2,1,,F,F,F,,4,,0,0,0,,VERONA HELLAS,VERONA,Verona,
TOROSIDIS,1,8,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,1,0,0,0,0,0,0,1,2,6.25,5.97,6.25,5.97,5.38,5.62,6.09,5.92,5.44,5.65,16,19,8,24,0,0,0,0,0,0,0,0,D,D,D,D,0,0,0,0,0,0,ROMA,ROMA,Roma,Bologna
TORREIRA,,,,7,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,6.09,,,,6.19,,,,35,,,,0,,,,0,,,,M,,0,,,,0,,,,Sampdoria
TORRES,,1,,,,,,0,,,0,,,,,0,,,,1,,,,0,,0,,,,0,,5.72,,5.72,,,,5.44,,,,9,,,,0,,,,0,,,,F,,,,,,0,,,,MILAN,,
TORROMINO,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,F,,0,,,,0,,,,Crotone
TOSCANO,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,M,,0,,,,0,,,,Palermo
TOTTI,3,5,3,1,0,0,6,5,3,3,0,0,0,0,0,0,0,0,6,4,5,0,0,1,0,0,0,0,2,0,7.6,7.16,7.36,6.96,7.95,7.23,6.46,6.1,6.45,6.45,25,25,11,11,2,4,1,2,0,0,0,0,F,F,F,F,1,2,0,0,0,0,ROMA,ROMA,Roma,Roma
TOUNKARA,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,F,,0,,,,0,,,,Lazio
TOZZO,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,G,,0,,,,0,,,,Sampdoria
TRAJKOVSKI,,,2,1,0,0,,,1,0,,0,0,,,,0,0,,,3,1,,,,,0,0,,,,,,,5.94,5.94,,,5.65,5.67,,,31,9,,,0,0,,,0,0,,,F,F,0,0,,,0,0,,,Palermo,Palermo
TROIANI,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,D,,0,,,,0,,,,Chievo
TROTTA,,,0,2,0,0,,,0,4,,0,0,,,,0,0,,,1,2,,,,,0,0,,,,,,,6.17,6.27,,,5.67,5.81,,,6,26,,,0,1,,,0,0,,,F,F,0,1,,,0,0,,,Sassuolo,Crotone
UCAN,,1,0,,0,,,0,0,,0,0,,,,0,0,,,0,0,,,0,,0,0,,,0,,5.5,,5.5,6.25,,,5.75,6.25,,,2,2,,,0,0,,,0,0,,,M,M,,0,,,0,0,,,ROMA,Roma,
UJKANI,,0,,,,,,0,,,0,,,,,0,,,,0,,,,0,,4,,,,0,,4.5,,4.5,,,,5.83,,,,3,,,,0,,,,0,,,,G,,,,,,0,,,,PALERMO,,
UVINI,0,,,,,,0,,,,,,,0,0,,,,0,,,,0,,0,,,,0,,5.5,,5.5,,,,5.5,,,,1,,,,0,,,,0,,,,D,,,,,,0,,,,NAPOLI,,,
VAINQUEUR,,,3,0,0,0,,,2,0,,0,0,,,,0,0,,,0,0,,,,,0,0,,,,,,,6.04,0,,,6,0,,,13,0,,,0,0,,,0,0,,,M,M,0,0,,,0,0,,,Roma,Roma
VALDES,1,,,,,,0,,,,,,,0,0,,,,0,,,,0,,0,,,,0,,5.67,,5.67,,,,5.75,,,,6,,,,0,,,,0,,,,M,,,,,,0,,,,PARMA,,,
VALDIFIORI,,6,3,5,0,0,,7,0,0,0,0,0,,,1,0,0,,0,0,0,,0,,0,0,0,,0,,6.43,,6.24,5.17,5.79,,6.35,5.42,5.9,,36,6,24,,0,0,0,,0,0,0,,M,M,M,0,0,,0,0,0,,EMPOLI,Napoli,Torino
VALENCIA,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,M,,0,,,,0,,,,Bologna
VALENTINI,1,,,,,,0,,,,,,,0,0,,,,0,,,,0,,0,,,,0,,5.5,,5.5,,,,5.53,,,,15,,,,0,,,,0,,,,D,,,,,,0,,,,LIVORNO,,,
VALOTI,,2,,,,,,1,,,0,,,,,0,,,,1,,,,0,,0,,,,0,,7.13,,6.88,,,,6.38,,,,4,,,,0,,,,0,,,,M,,,,,,0,,,,VERONA,,
VALZANIA,,1,,,,,,0,,,0,,,,,0,,,,0,,,,0,,0,,,,0,,5.5,,5.5,,,,5.75,,,,2,,,,0,,,,0,,,,F,,,,,,0,,,,CESENA,,
VAN GINKEL,,3,,,,,,1,,,0,,,,,0,,,,1,,,,0,,0,,,,0,,5.63,,5.56,,,,5.47,,,,16,,,,0,,,,0,,,,M,,,,,,0,,,,MILAN,,
VANGIONI,,,,4,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,5.62,,,,5.79,,,,12,,,,0,,,,0,,,,D,,0,,,,0,,,,Milan
VARELA,,3,,,,,,1,,,0,,,,,0,,,,3,,,,1,,0,,,,1,,6.42,,6.37,,,,5.97,,,,19,,,,0,,,,0,,,,M,,,,,,0,,,,PARMA,,
VARGAS,2,,,,,,0,,,,,,,0,0,,,,4,,,,0,,0,,,,1,,6.52,,6.52,,,,6,,,,21,,,,0,,,,0,,,,M,,,,,,0,,,,FIORENTINA,,,
VARGAS J.,,2,,,,,,1,,,0,,,,,0,,,,1,,,,0,,0,,,,0,,6.29,,6.21,,,,6.04,,,,12,,,,0,,,,0,,,,M,,,,,,0,,,,FIORENTINA,,
VARGIC,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,3,,,,,,,,2.5,,,,5.5,,,,1,,,,0,,,,0,,,,G,,0,,,,0,,,,Lazio
VAZQUEZ,,7,11,,0,,,7,4,,0,0,,,,0,0,,,9,8,,,1,,0,0,,,2,,7.07,,6.88,6.9,,,6.24,6.28,,,37,36,,,1,1,,,1,0,,,M,F,,1,,,0,0,,,PALERMO,Palermo,
VECINO,2,6,8,7,0,0,0,3,1,4,0,0,0,0,0,0,0,0,2,2,2,3,0,1,0,0,0,0,0,1,6.29,6.26,6.29,6.18,6.09,6.34,5.88,6.1,5.98,6.02,12,36,29,29,0,0,0,0,0,0,0,0,M,M,M,M,0,0,0,0,0,0,CAGLIARI,EMPOLI,Fiorentina,Fiorentina
VERDE,,0,0,,0,,,2,0,,0,0,,,,0,0,,,0,0,,,0,,0,0,,,0,,6.6,,6.2,6,,,6.2,6,,,5,3,,,0,0,,,0,0,,,F,F,,0,,,0,0,,,ROMA,Frosinone,
VERDI,,2,1,4,0,0,,1,0,3,0,0,0,,,0,0,0,,1,3,6,,0,,0,0,0,,0,,6.3,,6.26,7.75,6.94,,6.17,6.33,6.24,,23,6,27,,0,2,0,,0,0,0,,M,M,M,2,0,,0,0,0,,EMPOLI,Carpi,Bologna
VERDU',,,0,,0,,,,0,,,0,,,,,0,,,,1,,,,,,0,,,,,,,,6.5,,,,5.9,,,,5,,,,0,,,,0,,,,M,,0,,,,0,,,,Fiorentina,
VERGARA,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,D,,0,,,,0,,,,Milan
VERMAELEN,,,,1,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,5.4,,,,5.5,,,,5,,,,0,,,,0,,,,D,,0,,,,0,,,,Roma
VERRE,,,,2,,0,,,,1,,,0,,,,,1,,,,0,,,,,,0,,,,,,,,5.52,,,,5.56,,,,27,,,,0,,,,0,,,,M,,0,,,,0,,,,Pescara
VESELI,,,,3,,0,,,,2,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,5.59,,,,5.56,,,,17,,,,0,,,,0,,,,D,,0,,,,0,,,,Empoli
VESOVIC,0,,,,,,0,,,,,,,0,0,,,,0,,,,0,,0,,,,0,,5.5,,5.5,,,,5.5,,,,2,,,,0,,,,0,,,,D,,,,,,0,,,,TORINO,,,
VICTOR DA SILVA,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,M,,0,,,,0,,,,Chievo
VIDAL,8,7,,,,,1,3,,,0,,,0,0,0,,,9,5,,,1,0,0,0,,,6,4,7.31,6.77,7.28,6.65,,,6.28,6.1,,,29,26,,,2,2,,,0,1,,,M,M,,,,,0,0,,,JUVENTUS,JUVENTUS,,
VIDIC,,6,,,,,,0,,,0,,,,,1,,,,1,,,,0,,0,,,,0,,5.65,,5.65,,,,5.7,,,,23,,,,0,,,,0,,,,D,,,,,,0,,,,INTER,,
VIGNATO,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,6,,,,6,,,,1,,,,0,,,,0,,,,F,,0,,,,0,,,,Chievo
VINICIUS,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,D,,0,,,,0,,,,Lazio
VITIELLO,,3,3,1,0,0,,0,0,0,0,1,0,,,0,1,0,,1,0,0,,0,,0,0,0,,0,,6.15,,6.15,5.13,5.3,,6.06,5.44,5.4,,17,8,5,,0,0,0,,0,0,0,,D,D,D,0,0,,0,0,0,,PALERMO,Palermo,Palermo
VITTURINI,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,5.67,,,,5.67,,,,3,,,,0,,,,0,,,,D,,0,,,,0,,,,Pescara
VIVES,15,8,9,0,0,0,2,3,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,5.92,6,5.86,5.89,5.89,5.33,6,5.93,5.94,5.67,33,27,31,3,0,0,0,0,0,0,0,0,M,M,M,M,0,0,0,0,0,0,TORINO,TORINO,Torino,Torino
VIVIANI,,,4,3,6,0,,,0,2,,0,0,,,,1,1,,,3,2,,,,,0,0,,,,,,,6.63,6.3,,,6.16,5.93,,,19,15,,,0,0,,,0,0,,,M,M,0,0,,,0,0,,,Verona,Bologna
VIVIANO,,3,2,5,0,0,,0,0,0,0,0,0,,,0,0,0,,0,0,0,,0,,30,56,20,,0,,5.17,,5.17,5.19,5.18,,6.26,6.41,6.32,,29,37,17,,0,0,0,,0,0,0,,G,G,G,0,0,,0,4,1,,SAMPDORIA,Sampdoria,Sampdoria
VOLTA,,7,,,,,,1,,,1,,,,,1,,,,0,,,,0,,0,,,,0,,5.39,,5.34,,,,5.64,,,,22,,,,0,,,,0,,,,D,,,,,,0,,,,CESENA,,
VRSALJKO,2,5,8,,0,,1,3,4,,0,0,,0,0,1,1,,0,0,0,,0,0,0,0,0,,0,0,5.95,6.13,5.91,5.97,6.07,,5.95,6.15,6.1,,22,20,35,,0,0,0,,0,0,0,,D,D,D,,0,,0,0,0,,GENOA,SASSUOLO,Sassuolo,
VUCINIC,2,,,,,,0,,,,,,,0,0,,,,1,,,,0,,0,,,,0,,6.31,,6.31,,,,5.69,,,,8,,,,1,,,,0,,,,F,,,,,,0,,,,JUVENTUS,,,
WAGUE,,4,5,2,0,0,,0,0,0,0,0,0,,,0,1,0,,2,0,0,,0,,0,0,0,,1,,6.2,,6.2,5.43,5.33,,5.8,5.6,5.5,,10,21,6,,0,0,0,,0,0,0,,D,D,D,0,0,,0,0,0,,UDINESE,Udinese,Udinese
WALLACE,0,,1,3,0,0,0,,0,0,,0,1,0,0,,0,0,0,,0,1,0,,0,,0,0,0,,5.75,,5.75,,5.6,5.69,5.75,,5.7,5.71,2,,5,21,0,,0,0,0,,0,0,D,,D,D,0,0,0,,0,0,INTER,,Carpi,Lazio
WIDMER,2,5,4,2,0,0,0,5,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5.77,6.21,5.77,6.07,6.08,5.96,5.85,5.97,6.08,5.86,13,35,25,28,0,0,0,0,0,0,0,0,D,M,D,D,0,0,0,0,0,0,UDINESE,UDINESE,Udinese,Udinese
WILCZEK,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,5.67,,,,5.67,,,,3,,,,0,,,,0,,,,F,,0,,,,0,,,,Carpi,
WOLSKI,2,,,,,,0,,,,,,,0,0,,,,1,,,,0,,0,,,,0,,6.05,,6.05,,,,5.85,,,,10,,,,0,,,,0,,,,M,,,,,,0,,,,FIORENTINA,,,
WSZOLEK,4,0,4,,0,,0,1,3,,0,0,,0,0,0,1,,1,0,0,,0,0,0,0,0,,0,0,5.63,5.75,5.63,5.5,6.02,,5.56,5.5,6.02,,16,4,25,,0,0,0,,0,0,0,,M,M,M,,0,,0,0,0,,SAMPDORIA,SAMPDORIA,Verona,
YAKOVENKO,0,,,,,,0,,,,,,,0,0,,,,0,,,,0,,0,,,,0,,5.5,,5.5,,,,5.5,,,,2,,,,0,,,,0,,,,F,,,,,,0,,,,FIORENTINA,,,
YANGA MBIWA,,6,,,,,,1,,,0,,,,,0,,,,1,,,,0,,0,,,,1,,5.92,,5.88,,,,5.88,,,,26,,,,0,,,,0,,,,D,,,,,,0,,,,ROMA,,
YAO,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,D,,0,,,,0,,,,Inter
YEBDA,1,,,,,,0,,,,,,,0,0,,,,0,,,,0,,0,,,,0,,5.5,,5.5,,,,5.63,,,,4,,,,0,,,,0,,,,M,,,,,,0,,,,UDINESE,,,
YEPES,8,,,,,,0,,,,,,,0,0,,,,0,,,,0,,0,,,,0,,5.8,,5.8,,,,5.98,,,,23,,,,0,,,,0,,,,D,,,,,,0,,,,ATALANTA,,,
ZACCAGNI,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,6.17,,,,6.17,,,,3,,,,0,,,,0,,,,M,,0,,,,0,,,,Verona,
ZACCARDO,1,0,4,,0,,0,1,0,,0,0,,0,0,1,0,,0,1,1,,0,0,0,0,0,,0,0,5.72,6.83,5.72,6.5,5.93,,5.78,5.83,5.89,,9,3,27,,0,0,0,,0,0,0,,D,D,D,,0,,0,0,0,,MILAN,MILAN,Carpi,
ZAJC,,,,0,,0,,,,1,,,0,,,,,0,,,,1,,,,,,0,,,,,,,,7.67,,,,6.33,,,,3,,,,0,,,,0,,,,M,,0,,,,0,,,,Empoli
ZAMBELLI,,,3,1,0,0,,,0,0,,0,0,,,,0,0,,,0,0,,,,,0,0,,,,,,,5.5,5.56,,,5.59,5.62,,,16,8,,,0,0,,,0,0,,,D,D,0,0,,,0,0,,,Empoli,Empoli
ZAMPANO F,,,,2,,0,,,,5,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,5.97,,,,5.85,,,,34,,,,0,,,,0,,,,D,,0,,,,0,,,,Pescara
ZAMPANO G,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,D,,0,,,,0,,,,Crotone
ZANETTI,0,,,,,,0,,,,,,,0,0,,,,0,,,,0,,0,,,,0,,5.88,,5.88,,,,5.88,,,,8,,,,0,,,,0,,,,M,,,,,,0,,,,INTER,,,
ZANON L,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,D,,0,,,,0,,,,Fiorentina
ZAPATA,4,,,,,,0,,,,,,,0,0,,,,1,,,,0,,0,,,,0,,5.47,,5.47,,,,5.42,,,,20,,,,0,,,,0,,,,D,,,,,,0,,,,MILAN,,,
ZAPATA C,,,4,0,0,0,,,0,0,,0,0,,,,0,0,,,1,1,,,,,0,0,,,,,,,5.75,6.1,,,5.69,5.9,,,16,15,,,0,0,,,0,0,,,D,D,0,0,,,0,0,,,Milan,Milan
ZAPATA C.,,1,,,,,,1,,,1,,,,,1,,,,0,,,,0,,0,,,,0,,5.54,,5.46,,,,5.75,,,,12,,,,0,,,,0,,,,D,,,,,,0,,,,MILAN,,
ZAPATA D,,,5,3,0,0,,,2,2,,0,0,,,,0,0,,,8,9,,,,,0,0,,,,,,,7.04,6.79,,,6.06,5.99,,,24,38,,,0,1,,,0,0,,,F,F,0,1,,,0,0,,,Udinese,Udinese
ZAPATA D.,1,2,,,,,2,1,,,0,,,0,0,0,,,5,6,,,0,2,0,0,,,1,2,7.83,7.58,7.61,7.5,,,6,6.08,,,9,12,,,0,0,,,0,0,,,F,F,,,,,0,0,,,NAPOLI,NAPOLI,,
ZAPPACOSTA,,4,3,1,0,0,,1,1,4,0,0,0,,,0,0,0,,3,1,1,,0,,0,0,0,,0,,6.38,,6.34,6.02,6.36,,6.09,5.91,6.12,,28,23,28,,0,0,0,,0,0,0,,D,D,D,0,0,,0,0,0,,ATALANTA,Torino,Torino
ZAPPINO,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,14,,,,,,,,2.5,,,,6,,,,4,,,,0,,,,0,,,,G,,0,,,,0,,,,Frosinone,
ZARATE,,,2,1,0,0,,,0,1,,0,0,,,,1,0,,,3,2,,,,,0,0,,,,,,,6.81,7.7,,,6.27,6.4,,,13,5,,,0,0,,,0,0,,,F,F,0,0,,,0,0,,,Fiorentina,Fiorentina
ZAZA,10,11,5,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,8,10,5,0,1,0,0,0,0,0,1,2,6.61,6.77,6.58,6.74,6.59,0,5.92,5.95,5.91,0,32,31,17,0,1,1,0,0,0,1,0,0,F,F,F,F,0,0,0,0,0,0,SASSUOLO,SASSUOLO,Juventus,Juventus
ZE' EDUARDO,,2,,,,,,1,,,0,,,,,1,,,,1,,,,1,,0,,,,0,,5.64,,5.55,,,,5.45,,,,11,,,,0,,,,0,,,,M,,,,,,0,,,,CESENA,,
ZIEGLER,2,,,,,,0,,,,,,,0,0,,,,0,,,,0,,0,,,,0,,5.4,,5.4,,,,5.47,,,,15,,,,0,,,,0,,,,D,,,,,,0,,,,SASSUOLO,,,
ZIELINSKI,0,3,5,4,1,0,0,0,3,6,0,0,0,0,0,0,1,0,0,0,5,5,0,0,0,0,0,0,0,0,5.25,5.96,5.25,5.96,6.67,6.9,5.25,6.02,6.24,6.34,2,23,35,34,0,0,0,0,0,0,0,0,M,M,M,M,0,0,0,0,0,0,UDINESE,EMPOLI,Empoli,Napoli
ZIMA,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,G,,0,,,,0,,,,Genoa
ZONTA,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,M,,0,,,,0,,,,Inter
ZUCULINI,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,6,,,,6,,,,1,,,,0,,,,0,,,,M,,0,,,,0,,,,Bologna,
ZUKANOVIC,,7,7,1,0,0,,2,1,0,0,1,0,,,0,1,0,,2,3,0,,0,,0,0,0,,1,,6.12,,6.05,5.83,5.92,,5.97,5.59,5.94,,29,23,18,,0,0,0,,0,0,0,,D,D,D,0,0,,0,0,0,,CHIEVO,Roma,Atalanta
ZUNIGA,0,0,0,,1,,0,2,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,6.3,6.08,6.3,5.75,5.89,,6.3,5.75,5.83,,5,6,9,,0,0,0,,0,0,0,,D,D,D,,0,,0,0,0,,NAPOLI,NAPOLI,Bologna,
ZUPARIC,,,,1,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,5.5,,,,5.58,,,,6,,,,0,,,,0,,,,D,,0,,,,0,,,,Pescara
