Name,Yc1314,Yc1415,Yc1516,Yc1617,Ass1516,Ass1617,Asr1314,Asr1415,Asr1516,Asr1617,Og1415,Og1516,Og1617,Og1314,Rc1314,Rc1415,Rc1516,Rc1617,Gf1314,Gf1415,Gf1516,Gf1617,Ge1314,Ge1415,Gr1314,Gr1415,Gr1516,Gr1617,Gv1314,Gv1415,Sf+1314,Sf+1415,Sf1314,Sf1415,Sf1516,Sf1617,Sa1314,Sa1415,Sa1516,Sa1617,Pg1314,Pg1415,Pg1516,Pg1617,P+1314,P+1415,P+1516,P+1617,P-1314,P-1415,P-1516,P-1617,R1314,R1415,R1516,R1617,Pk1516,Pk1617,Ps1314,Ps1415,Ps1516,Ps1617,Team1314,Team1415,Team1516,Team1617
SANCHEZ,,,,6,,0,,,,0,,,0,,,,,0,,,,1,,,,,,0,,,,,,,,5.77,,,,5.77,,,,30,,,,0,,,,0,,,,M,,0,,,,0,,,,Fiorentina
SANCHEZ MINO,,1,,,,,,1,,,0,,,,,0,,,,0,,,,0,,0,,,,0,,5.5,,5.39,,,,5.78,,,,9,,,,0,,,,1,,,,M,,,,,,0,,,,TORINO,,
SANSONE G.,2,0,,,,,1,0,,,0,,,0,0,0,,,3,0,,,0,0,0,0,,,1,0,6.36,5.33,6.32,5.33,,,5.95,5.33,,,22,3,,,0,0,,,0,0,,,F,F,,,,,0,0,,,SAMPDORIA,SAMPDORIA,,
SANSONE N,,,8,0,1,0,,,2,0,,0,0,,,,0,0,,,7,0,,,,,0,0,,,,,,,6.75,0,,,6.29,0,,,36,0,,,0,0,,,1,0,,,F,F,1,0,,,0,0,,,Sassuolo,Sassuolo
SANSONE N.,2,3,,,,,6,4,,,0,,,0,0,1,,,7,5,,,1,0,0,0,,,3,2,7.25,6.41,7,6.29,,,6.17,5.93,,,24,34,,,0,0,,,0,0,,,F,F,,,,,0,0,,,SASSUOLO,SASSUOLO,,
SANTACROCE,,6,,,,,,1,,,0,,,,,0,,,,0,,,,0,,0,,,,0,,5.6,,5.53,,,,5.73,,,,15,,,,0,,,,0,,,,D,,,,,,0,,,,PARMA,,
SANTANA,0,,,,,,0,,,,,,,0,0,,,,0,,,,0,,0,,,,0,,5.5,,5.5,,,,5.5,,,,5,,,,0,,,,0,,,,M,,,,,,0,,,,GENOA,,,
SANTON,,0,1,1,0,0,,0,0,1,0,0,0,,,0,0,0,,0,0,0,,0,,0,0,0,,0,,6.06,,6.06,5.68,5.62,,6.06,5.73,5.58,,9,11,12,,0,0,0,,0,0,0,,D,D,D,0,0,,0,0,0,,INTER,Inter,Inter
SAPONARA,0,2,6,5,0,0,0,2,9,3,0,0,0,0,0,1,1,0,0,6,5,4,0,0,0,0,0,0,0,1,5.5,7.58,5.5,7.47,6.74,6.24,5.5,6.42,6.23,5.78,5,18,33,27,0,1,0,0,0,0,1,0,M,M,M,M,1,0,0,0,0,0,MILAN,EMPOLI,Empoli,Fiorentina
SARDO,6,1,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5.71,5.69,5.64,5.69,5.92,0,5.71,5.75,5.67,0,29,8,6,0,0,0,0,0,0,0,0,0,D,D,D,D,0,0,0,0,0,0,CHIEVO,CHIEVO,Chievo,Chievo
SARR,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,G,,0,,,,0,,,,Bologna
